date,city,year,job_openings,skill_category
2023-05-02,Singapore,2023,121,Cloud Computing
2022-07-08,Yokohama,2024,132,Software Development
2022-07-23,New York,2023,117,Cloud Computing
2023-03-06,Berlin,2023,97,Cloud Computing
2023-02-06,Shanghai,2023,73,Cybersecurity
2022-06-11,San Francisco,2024,76,Cybersecurity
2023-04-03,Shanghai,2024,84,Cloud Computing
2023-07-04,San Francisco,2023,108,Data Science
2023-12-18,Bangalore,2025,92,AI
2022-09-07,Toronto,2025,78,DevOps
2023-05-15,Shanghai,2024,51,AI
2023-08-27,Sydney,2025,55,DevOps
2022-01-01,Singapore,2025,90,Software Development
2022-07-10,San Francisco,2025,137,Cloud Computing
2023-08-08,Sydney,2024,190,AI
2022-12-05,Osaka,2024,155,Cybersecurity
2022-01-30,New York,2025,73,Cybersecurity
2022-01-10,New York,2025,177,AI
2022-03-04,Osaka,2023,179,DevOps
2022-06-05,Bangalore,2023,134,DevOps
2022-04-09,Bangalore,2024,152,Data Science
2023-04-27,Tokyo,2023,111,DevOps
2023-02-06,New York,2025,55,Cloud Computing
2022-03-09,Singapore,2025,163,Software Development
2022-05-23,Yokohama,2025,138,Cybersecurity
2023-05-25,Berlin,2024,193,DevOps
2022-06-27,Shanghai,2023,95,Data Science
2023-06-28,Osaka,2023,121,DevOps
2022-03-02,London,2025,175,Data Science
2023-03-01,London,2023,123,Cybersecurity
2022-01-07,Shanghai,2025,88,Cloud Computing
2023-06-02,Tokyo,2023,123,AI
2023-04-11,New York,2025,101,AI
2023-04-17,London,2024,149,AI
2022-11-21,Tokyo,2024,153,Cybersecurity
2022-03-11,New York,2023,71,Cybersecurity
2023-01-02,Toronto,2024,129,DevOps
2023-04-18,Bangalore,2023,106,Cloud Computing
2023-06-15,London,2023,188,Cybersecurity
2023-05-16,Shanghai,2023,85,Data Science
2023-08-19,New York,2024,84,AI
2022-08-02,Shanghai,2024,71,Cloud Computing
2023-06-12,Berlin,2024,195,Cloud Computing
2022-08-23,Tokyo,2023,110,AI
2023-01-24,London,2023,58,DevOps
2022-12-21,Shanghai,2024,200,Cloud Computing
2023-03-05,New York,2023,109,Cloud Computing
2023-07-05,Bangalore,2025,189,Data Science
2022-05-22,Toronto,2023,60,Cloud Computing
2022-10-12,Yokohama,2023,142,Data Science
2022-05-21,Shanghai,2023,66,DevOps
2023-08-01,New York,2024,86,Cloud Computing
2023-05-13,Toronto,2024,139,DevOps
2023-07-27,Yokohama,2025,121,AI
2023-06-14,London,2023,119,Cybersecurity
2023-01-18,Tokyo,2025,99,DevOps
2022-03-20,Toronto,2024,133,DevOps
2022-07-13,Toronto,2023,69,Cloud Computing
2023-08-11,Sydney,2025,113,Cloud Computing
2022-01-16,Yokohama,2024,189,DevOps
2023-03-12,Shanghai,2023,81,AI
2023-09-19,London,2024,119,Data Science
2023-02-18,San Francisco,2025,169,Data Science
2023-10-17,Berlin,2024,71,Data Science
2022-07-04,San Francisco,2024,145,Cybersecurity
2023-11-22,San Francisco,2025,99,AI
2023-06-20,Berlin,2024,162,DevOps
2022-07-08,Yokohama,2024,121,Cybersecurity
2022-01-23,San Francisco,2024,96,Cloud Computing
2023-09-20,Sydney,2025,67,Software Development
2022-05-30,Singapore,2024,182,Cloud Computing
2023-03-14,San Francisco,2025,97,Cloud Computing
2022-10-05,Berlin,2024,98,Cybersecurity
2023-11-19,Berlin,2025,79,Cloud Computing
2023-09-11,San Francisco,2023,88,AI
2022-02-14,Yokohama,2024,166,Cloud Computing
2022-06-16,San Francisco,2023,171,Data Science
2023-02-09,Osaka,2024,125,Cybersecurity
2023-09-29,Osaka,2025,100,Cloud Computing
2023-10-11,New York,2025,145,Data Science
2022-11-02,Osaka,2025,96,Data Science
2022-08-02,Sydney,2024,173,Data Science
2023-05-14,Yokohama,2025,172,AI
2022-03-20,London,2025,157,DevOps
2023-04-12,Toronto,2024,105,Data Science
2023-12-29,Sydney,2023,167,Data Science
2023-02-06,San Francisco,2025,84,Data Science
2022-02-07,Osaka,2023,92,Cloud Computing
2023-05-24,Bangalore,2025,159,Cybersecurity
2023-02-01,Yokohama,2025,50,Data Science
2023-03-11,New York,2023,91,DevOps
2022-10-31,Bangalore,2024,93,Data Science
2023-03-15,Singapore,2025,169,Cybersecurity
2023-01-22,London,2023,107,AI
2023-06-16,Toronto,2023,190,AI
2022-10-18,Bangalore,2024,122,Data Science
2022-12-28,Berlin,2023,65,AI
2023-05-13,Tokyo,2024,51,Cybersecurity
2022-06-15,Toronto,2023,96,DevOps
2022-01-30,Berlin,2024,63,Cloud Computing
2023-06-11,Tokyo,2024,176,Cybersecurity
2022-09-19,Bangalore,2025,146,AI
2023-06-15,Berlin,2023,198,Cloud Computing
2023-10-20,Osaka,2023,101,Cybersecurity
2023-11-27,San Francisco,2024,126,Data Science
2022-11-07,Tokyo,2023,123,Cybersecurity
2022-11-22,Berlin,2023,71,Cloud Computing
2022-03-13,New York,2023,110,Cybersecurity
2022-03-20,Toronto,2023,183,DevOps
2023-09-04,Singapore,2025,50,Cybersecurity
2023-05-16,Yokohama,2024,88,AI
2022-06-02,Yokohama,2025,57,Data Science
2022-04-21,Osaka,2023,107,DevOps
2022-06-23,New York,2025,196,Cloud Computing
2023-06-30,Sydney,2024,55,DevOps
2022-02-06,Bangalore,2023,190,Software Development
2022-08-26,Yokohama,2025,137,Data Science
2023-11-20,Tokyo,2024,171,DevOps
2023-01-11,Tokyo,2025,97,Software Development
2022-06-13,Toronto,2025,165,Software Development
2023-07-12,London,2025,195,Data Science
2022-09-29,Bangalore,2023,143,Data Science
2023-10-16,San Francisco,2024,125,DevOps
2023-07-30,New York,2024,171,Cybersecurity
2023-03-08,Tokyo,2025,153,Cybersecurity
2023-11-21,Osaka,2025,123,Cybersecurity
2022-10-23,Singapore,2025,87,DevOps
2022-10-17,Yokohama,2025,124,DevOps
2023-03-23,New York,2025,80,Cloud Computing
2022-11-12,Singapore,2025,192,Data Science
2022-05-20,Sydney,2023,61,Data Science
2023-01-10,Toronto,2023,189,Software Development
2023-03-25,Yokohama,2025,73,DevOps
2022-06-26,Toronto,2025,167,Data Science
2022-03-28,Osaka,2023,190,Cloud Computing
2022-04-21,London,2024,100,DevOps
2023-05-24,Osaka,2025,123,DevOps
2023-01-09,Tokyo,2023,146,Cloud Computing
2023-03-21,New York,2025,93,Cybersecurity
2023-05-05,Berlin,2023,156,AI
2022-08-13,Yokohama,2024,143,Cloud Computing
2022-04-05,Sydney,2023,92,DevOps
2023-05-26,Singapore,2023,149,DevOps
2022-05-19,Sydney,2024,142,AI
2023-05-11,Bangalore,2023,138,AI
2022-09-27,San Francisco,2023,149,Cybersecurity
2022-11-22,Yokohama,2025,96,DevOps
2023-11-08,Singapore,2023,171,Cloud Computing
2022-03-01,Sydney,2023,181,Cloud Computing
2022-04-25,Osaka,2025,58,AI
2022-10-27,Shanghai,2023,179,Data Science
2022-11-12,Yokohama,2024,93,Cybersecurity
2022-12-22,Bangalore,2023,93,Cybersecurity
2023-02-01,Osaka,2025,132,Cloud Computing
2023-02-26,Bangalore,2024,86,Data Science
2022-08-06,San Francisco,2023,92,Data Science
2022-11-29,Bangalore,2024,135,DevOps
2022-09-10,Toronto,2024,72,Cloud Computing
2022-06-08,Bangalore,2025,138,AI
2023-09-23,Shanghai,2023,77,Cloud Computing
2023-06-17,New York,2025,192,Cloud Computing
2023-02-20,Singapore,2023,144,Data Science
2023-07-11,Singapore,2025,66,DevOps
2023-01-20,Shanghai,2024,123,Cybersecurity
2022-08-12,New York,2025,144,AI
2022-01-04,London,2024,100,DevOps
2022-10-05,Sydney,2023,162,DevOps
2023-05-16,Bangalore,2025,102,DevOps
2022-11-30,Toronto,2023,167,Cybersecurity
2022-11-08,Tokyo,2023,61,Cloud Computing
2022-04-23,Yokohama,2023,121,Cybersecurity
2022-02-10,Singapore,2024,53,AI
2022-02-16,San Francisco,2025,118,Data Science
2023-04-10,Sydney,2025,129,Cloud Computing
2023-09-07,Singapore,2025,142,DevOps
2023-02-15,Osaka,2023,129,Cybersecurity
2022-05-24,Osaka,2024,190,AI
2023-09-22,Yokohama,2024,85,Software Development
2023-12-06,London,2025,157,Cybersecurity
2023-10-14,Osaka,2025,133,AI
2022-11-13,Yokohama,2023,152,Cloud Computing
2022-04-28,Yokohama,2025,74,Cybersecurity
2023-11-23,Osaka,2025,189,DevOps
2022-09-07,Singapore,2025,93,Cybersecurity
2022-08-15,Shanghai,2025,118,DevOps
2022-04-25,Yokohama,2023,108,Data Science
2023-05-12,Singapore,2023,177,Data Science
2022-04-12,London,2024,114,Cybersecurity
2023-02-17,London,2023,65,AI
